Platform,URL,Engagement,Text,Matched Keywords,toxicity_score,Label,clean_text,word_count,negative_word_count
Twitter,https://twitter.com/user/status/1970136866256044395,130,"RT @MikeCrispi: LIVE on the ground outside the first New Jersey Gubernatorial debate.

The energy for @Jack4NJ is ELECTRIC!

As the leftist…",,0.020658353,0,rt live ground outside first new jersey gubernatorial debate energy electric leftist…,12,0
Twitter,https://twitter.com/user/status/1970136866121830462,1088,"RT @AdamMoczar: ⚡🇺🇲 Charlie Kirk: “Islam is NOT compatible with the west and importing millions of Muslims is suicidal.

Islam does not bel…",Muslims,0.12526758,0,rt ⚡ charlie kirk “islam compatible west importing millions muslims suicidal islam bel…,13,0
Twitter,https://twitter.com/user/status/1970136865648103645,1219,"RT @aldamu_jo: Israeli police clashed with ultra-Orthodox Jews at a religious festival site in Mount Meron, which authorities closed.

Desp…",Jews,0.013052086,0,rt israeli police clashed ultraorthodox jews religious festival site mount meron authorities closed desp…,14,0
Twitter,https://twitter.com/user/status/1970136865622929608,1151,"RT @AzatAlsalim: A Hijabi woman tells a 'Gay for Palestine' that he is not welcome at the pro-Palestine demonstration and to leave.

""Get o…",,0.4263021,0,rt hijabi woman tells gay palestine welcome propalestine demonstration leave get o…,12,0
Twitter,https://twitter.com/user/status/1970136865543188756,0,"@ScotGovFM @JohnSwinney @PalMissionUK Absolutely shameful, no recognition whilst one hostage remains.",shameful,0.018146835,0,absolutely shameful recognition whilst one hostage remains,7,0
Twitter,https://twitter.com/user/status/1970136865526394990,21,RT @arthurwatkins: A lot of those that are saying they are Native Americans are immigrants. A lot og identity theft.,immigrants,0.04026656,0,rt lot saying native americans immigrants lot og identity theft,10,0
Twitter,https://twitter.com/user/status/1970136865383559416,0,Just listen to these vile evil men! https://t.co/b8B157AHAk,evil,0.8852132,1,listen vile evil men,4,0
Twitter,https://twitter.com/user/status/1970136864913862831,0,"@JoJoFromJerz Define ""hate speech.""",hate speech,0.020169023,0,define hate speech,3,1
Twitter,https://twitter.com/user/status/1970136864892809581,98,RT @joshxhowie: Throwing chicken bones at a 77-year-old Rabbi. This is the kind of new year for London Jews that Sadiq Khan has enabled. ht…,Jews,0.38447997,0,rt throwing chicken bones 77yearold rabbi kind new year london jews sadiq khan enabled ht…,15,0
Twitter,https://twitter.com/user/status/1970136864779534584,0,"Do you know why it’s called a daemon thread? An interesting backstory.

It actually goes way back, like, Ancient Greece back.

The word ""daemon"" (or *daimon*) was used for these invisible spirits. Not evil, just quiet helpers, guiding humans and events in the background without",evil,0.00068246515,0,know it’s called daemon thread interesting backstory actually goes way back like ancient greece back word daemon daimon used invisible spirits evil quiet helpers guiding humans events background without,29,0
Twitter,https://twitter.com/user/status/1970136864678940690,45,"RT @Broufus: Indians or rather the entire subcontinent, whether hindus or muslims are extremely regressive. I have been to India during Ram…",Muslims,0.0030761245,0,rt indians rather entire subcontinent whether hindus muslims extremely regressive india ram…,12,0
Twitter,https://twitter.com/user/status/1970136864658280945,284,"RT @rutasosabu: 🚨So apparently, asking a politician to explain his immigration policy is now considered “Hateful Conduct” 🤔
X flagged my po…",,0.02240551,0,rt apparently asking politician explain immigration policy considered “hateful conduct” 🤔 x flagged po…,14,0
Twitter,https://twitter.com/user/status/1970136863941030318,1384,"RT @William_E_Wolfe: Just had the craziest Uber driver experience in Phoenix. 

The driver was very “concerned” that the Charlie Kirk memor…",,0.01045052,0,rt craziest uber driver experience phoenix driver “concerned” charlie kirk memor…,11,0
Twitter,https://twitter.com/user/status/1970136863915520113,1737,RT @charise_lee: Pete Hegseth is also covered in white supremacy tats...his own platoon turned him in for it‼️ https://t.co/gFak1BlgPn,white supremacy,0.018169656,0,rt pete hegseth also covered white supremacy tatshis platoon turned it‼️,11,0
Twitter,https://twitter.com/user/status/1970136863571894400,0,"@j_bambrick I knew in my heart when I voted for Trump all 3 times, that I was voting for this.  I pray good triumphs over the evil we face.",evil,0.006816768,0,knew heart voted trump 3 times voting pray good triumphs evil face,12,0
Twitter,https://twitter.com/user/status/1970136863500640543,6,RT @sweetsealie: sorry but I only like to see white people cut themselves i cannot stand it when a black person does it my apologies.,,0.52745336,1,rt sorry like see white people cut cannot stand black person apologies,12,0
Twitter,https://twitter.com/user/status/1970136863374737825,13985,RT @nyakomeowy: white supremacy is so crazy because he literally killed your husband and your forgiving him because he's white,white supremacy,0.80955845,1,rt white supremacy crazy literally killed husband forgiving hes white,10,0
Twitter,https://twitter.com/user/status/1970136863357980970,1315,"RT @MrSinha_: As per ""Seculars"":

-The Ashoka Emblem, which is our National Symbol, should not be allowed inside Islamic religious places…",,0.0011211497,0,rt per seculars ashoka emblem national symbol allowed inside islamic religious places…,12,0
Twitter,https://twitter.com/user/status/1970136863311819077,0,"@ADRoblesMedia You see, I'm fine with Christians being nationalist. What I'm not fine with is the ideology that is smuggled in via Christian Nationalism.",Christians,0.0178309,0,see im fine christians nationalist im fine ideology smuggled via christian nationalism,12,0
Twitter,https://twitter.com/user/status/1970136863223546319,2,RT @BannedbyBiden: Why are Muslims only safe in Christian countries?,Muslims,0.04331079,0,rt muslims safe christian countries,5,0
Twitter,https://twitter.com/user/status/1970136863215177767,293,"RT @supertanskiii: It was never about legal status. 

It was about racism. 

Not to mention this moron would further tank our economy, but…",racism,0.47500494,0,rt never legal status racism mention moron would tank economy but…,11,0
Twitter,https://twitter.com/user/status/1970136863110255009,0,"@EYakoby I mean, according to the BIBLE, Jews murdered Christ. https://t.co/hoFsXZTaaG",Jews,0.2231649,0,mean according bible jews murdered christ,6,0
Twitter,https://twitter.com/user/status/1970136862778957974,1582,RT @Bubblebathgirl: Black woman has some bad news for the Democrats who falsely said Charlie Kirk was racist and then celebrated his de*th.…,,0.5888989,1,rt black woman bad news democrats falsely said charlie kirk racist celebrated deth…,13,0
Twitter,https://twitter.com/user/status/1970136862745665993,446,"RT @NatCon2022: “Town Hall” meeting at a Black church for Philadelphia’s Soros funded DA, Larry Krasner.

Certain people, all of them White…",,0.054792996,0,rt “town hall” meeting black church philadelphia’s soros funded da larry krasner certain people white…,15,0
Twitter,https://twitter.com/user/status/1970136861990674585,2,"RT @Tam16601: @EricLDaugh At this point, I think it would be beneficial if conservatives and Christians stop turning on the television and…",Christians,0.03271301,0,rt point think would beneficial conservatives christians stop turning television and…,11,0
Twitter,https://twitter.com/user/status/1970136861751312889,0,"@DanBurmawy 1 Thessalonians 2:14–15:

&gt; “For you, brothers and sisters, became imitators of God’s churches in Judea, which are in Christ Jesus: You suffered from your own people the same things those churches suffered from the Jews who killed the Lord Jesus and the prophets and also drove us",Jews,0.16812287,0,1 thessalonians 214–15 gt “for brothers sisters became imitators god’s churches judea christ jesus suffered people things churches suffered jews killed lord jesus prophets also drove us,27,0
Twitter,https://twitter.com/user/status/1970136861432512719,0,"I would do disgusting things for Salah to win it, Tom Garratts head would fucking explode 😂😂 https://t.co/FFlFutuFH0",disgusting,0.9948826,1,would disgusting things salah win tom garratts head would fucking explode,11,1
Twitter,https://twitter.com/user/status/1970136861050917364,214,"RT @CBHeresy: The Jews did not kill Jesus.
Some did.

The Catholics did not pogrom Jews.
Some did.

Whites did not enslave Africans.
Some d…",Jews,0.6060023,1,rt jews kill jesus catholics pogrom jews whites enslave africans d…,11,0
Twitter,https://twitter.com/user/status/1970136860770156731,0,"@smoltalkme Indians have festivals where they throw cow poop. Vloggers that eats food in India get food poisoning. The caste system is nasty, but they also rape the lowest caste women, bc they are animals. Pooping in the street is not just a meme. 

Disgusting, stinky, poop perverts. Deport!",disgusting,0.96674556,1,indians festivals throw cow poop vloggers eats food india get food poisoning caste system nasty also rape lowest caste women bc animals pooping street meme disgusting stinky poop perverts deport,30,1
Twitter,https://twitter.com/user/status/1970136860690460764,2442,"RT @BreannaMorello: The Syrian “President” aka former Al Qaeda leader who once had $10 million bounty on his head, is strolling through New…",,0.0051437602,0,rt syrian “president” aka former al qaeda leader 10 million bounty head strolling new…,14,0
Twitter,https://twitter.com/user/status/1970136860577161466,37963,"RT @w_terrence: As a Black man, it hurts my soul to see people call Charlie Kirk a racist. I knew him personally and I can tell you, he was…",,0.21696319,0,rt black man hurts soul see people call charlie kirk racist knew personally tell was…,15,0
Twitter,https://twitter.com/user/status/1970136860497502436,1307,RT @Apolitical3678: Ban all jews from serving in the US Congress,Jews,0.49770656,0,rt ban jews serving us congress,6,0
Twitter,https://twitter.com/user/status/1970136859800932618,0,"Question for Eastern Orthodox Christians:

If the Patriarch of Constantinople came back into communion with Rome,

Would you follow him?",Christians,0.00074498606,0,question eastern orthodox christians patriarch constantinople came back communion rome would follow,12,0
Twitter,https://twitter.com/user/status/1970136859692134446,1171,"RT @BladeoftheS: ""It's the immigrants.""

Look at this picture.

It's these people. https://t.co/syEoP27s6k",immigrants,0.00085927674,0,rt immigrants look picture people,5,0
Twitter,https://twitter.com/user/status/1970136859641848247,1060,RT @OurShallowState: One component of Malignant Narcissism is Sadism. People don’t fathom how deeply Trump is driven by it. In normal peopl…,,0.0454577,0,rt one component malignant narcissism sadism people don’t fathom deeply trump driven normal peopl…,14,0
Twitter,https://twitter.com/user/status/1970136859344044413,0,@PositivelyViv I totally get this and also need a lift.  The algo can be horrible.,horrible,0.15382406,0,totally get also need lift algo horrible,7,1
Twitter,https://twitter.com/user/status/1970136859285295279,0,@roberge007 If ya can’t see that this man is a psychopath from this pic your blind or horrible as masking yourself. Like wtf is with that photo op,horrible,0.9439922,1,ya can’t see man psychopath pic blind horrible masking like wtf photo op,13,1
Twitter,https://twitter.com/user/status/1970136858899484776,3490,"RT @GBNEWS: ‘I am ASHAMED!’ Ex-MI6 chief tears into Keir Starmer’s move to recognise Palestine: ‘Terrible for British Jews’
https://t.co/bM…",Jews,0.14252448,0,rt ‘i ashamed’ exmi6 chief tears keir starmer’s move recognise palestine ‘terrible british jews’,14,0
