Platform,URL,Engagement,Text,Matched Keywords
Twitter,https://twitter.com/user/status/1970136866256044395,130,"RT @MikeCrispi: LIVE on the ground outside the first New Jersey Gubernatorial debate.

The energy for @Jack4NJ is ELECTRIC!

As the leftist…",N/A
Twitter,https://twitter.com/user/status/1970136866121830462,1088,"RT @AdamMoczar: ⚡🇺🇲 Charlie Kirk: “Islam is NOT compatible with the west and importing millions of Muslims is suicidal.

Islam does not bel…",Muslims
Twitter,https://twitter.com/user/status/1970136865648103645,1219,"RT @aldamu_jo: Israeli police clashed with ultra-Orthodox Jews at a religious festival site in Mount Meron, which authorities closed.

Desp…",Jews
Twitter,https://twitter.com/user/status/1970136865622929608,1151,"RT @AzatAlsalim: A Hijabi woman tells a 'Gay for Palestine' that he is not welcome at the pro-Palestine demonstration and to leave.

""Get o…",N/A
Twitter,https://twitter.com/user/status/1970136865543188756,0,"@ScotGovFM @JohnSwinney @PalMissionUK Absolutely shameful, no recognition whilst one hostage remains.",shameful
Twitter,https://twitter.com/user/status/1970136865526394990,21,RT @arthurwatkins: A lot of those that are saying they are Native Americans are immigrants. A lot og identity theft.,immigrants
Twitter,https://twitter.com/user/status/1970136865383559416,0,Just listen to these vile evil men! https://t.co/b8B157AHAk,evil
Twitter,https://twitter.com/user/status/1970136864913862831,0,"@JoJoFromJerz Define ""hate speech.""",hate speech
Twitter,https://twitter.com/user/status/1970136864892809581,98,RT @joshxhowie: Throwing chicken bones at a 77-year-old Rabbi. This is the kind of new year for London Jews that Sadiq Khan has enabled. ht…,Jews
Twitter,https://twitter.com/user/status/1970136864779534584,0,"Do you know why it’s called a daemon thread? An interesting backstory.

It actually goes way back, like, Ancient Greece back.

The word ""daemon"" (or *daimon*) was used for these invisible spirits. Not evil, just quiet helpers, guiding humans and events in the background without",evil
Twitter,https://twitter.com/user/status/1970136864678940690,45,"RT @Broufus: Indians or rather the entire subcontinent, whether hindus or muslims are extremely regressive. I have been to India during Ram…",Muslims
Twitter,https://twitter.com/user/status/1970136864658280945,284,"RT @rutasosabu: 🚨So apparently, asking a politician to explain his immigration policy is now considered “Hateful Conduct” 🤔
X flagged my po…",N/A
Twitter,https://twitter.com/user/status/1970136863941030318,1384,"RT @William_E_Wolfe: Just had the craziest Uber driver experience in Phoenix. 

The driver was very “concerned” that the Charlie Kirk memor…",N/A
Twitter,https://twitter.com/user/status/1970136863915520113,1737,RT @charise_lee: Pete Hegseth is also covered in white supremacy tats...his own platoon turned him in for it‼️ https://t.co/gFak1BlgPn,white supremacy
Twitter,https://twitter.com/user/status/1970136863571894400,0,"@j_bambrick I knew in my heart when I voted for Trump all 3 times, that I was voting for this.  I pray good triumphs over the evil we face.",evil
Twitter,https://twitter.com/user/status/1970136863500640543,6,RT @sweetsealie: sorry but I only like to see white people cut themselves i cannot stand it when a black person does it my apologies.,N/A
Twitter,https://twitter.com/user/status/1970136863374737825,13985,RT @nyakomeowy: white supremacy is so crazy because he literally killed your husband and your forgiving him because he's white,white supremacy
Twitter,https://twitter.com/user/status/1970136863357980970,1315,"RT @MrSinha_: As per ""Seculars"":

-The Ashoka Emblem, which is our National Symbol, should not be allowed inside Islamic religious places…",N/A
Twitter,https://twitter.com/user/status/1970136863311819077,0,"@ADRoblesMedia You see, I'm fine with Christians being nationalist. What I'm not fine with is the ideology that is smuggled in via Christian Nationalism.",Christians
Twitter,https://twitter.com/user/status/1970136863223546319,2,RT @BannedbyBiden: Why are Muslims only safe in Christian countries?,Muslims
Twitter,https://twitter.com/user/status/1970136863215177767,293,"RT @supertanskiii: It was never about legal status. 

It was about racism. 

Not to mention this moron would further tank our economy, but…",racism
Twitter,https://twitter.com/user/status/1970136863110255009,0,"@EYakoby I mean, according to the BIBLE, Jews murdered Christ. https://t.co/hoFsXZTaaG",Jews
Twitter,https://twitter.com/user/status/1970136862778957974,1582,RT @Bubblebathgirl: Black woman has some bad news for the Democrats who falsely said Charlie Kirk was racist and then celebrated his de*th.…,N/A
Twitter,https://twitter.com/user/status/1970136862745665993,446,"RT @NatCon2022: “Town Hall” meeting at a Black church for Philadelphia’s Soros funded DA, Larry Krasner.

Certain people, all of them White…",N/A
Twitter,https://twitter.com/user/status/1970136861990674585,2,"RT @Tam16601: @EricLDaugh At this point, I think it would be beneficial if conservatives and Christians stop turning on the television and…",Christians
Twitter,https://twitter.com/user/status/1970136861751312889,0,"@DanBurmawy 1 Thessalonians 2:14–15:

&gt; “For you, brothers and sisters, became imitators of God’s churches in Judea, which are in Christ Jesus: You suffered from your own people the same things those churches suffered from the Jews who killed the Lord Jesus and the prophets and also drove us",Jews
Twitter,https://twitter.com/user/status/1970136861432512719,0,"I would do disgusting things for Salah to win it, Tom Garratts head would fucking explode 😂😂 https://t.co/FFlFutuFH0",disgusting
Twitter,https://twitter.com/user/status/1970136861050917364,214,"RT @CBHeresy: The Jews did not kill Jesus.
Some did.

The Catholics did not pogrom Jews.
Some did.

Whites did not enslave Africans.
Some d…",Jews
Twitter,https://twitter.com/user/status/1970136860770156731,0,"@smoltalkme Indians have festivals where they throw cow poop. Vloggers that eats food in India get food poisoning. The caste system is nasty, but they also rape the lowest caste women, bc they are animals. Pooping in the street is not just a meme. 

Disgusting, stinky, poop perverts. Deport!",disgusting
Twitter,https://twitter.com/user/status/1970136860690460764,2442,"RT @BreannaMorello: The Syrian “President” aka former Al Qaeda leader who once had $10 million bounty on his head, is strolling through New…",N/A
Twitter,https://twitter.com/user/status/1970136860577161466,37963,"RT @w_terrence: As a Black man, it hurts my soul to see people call Charlie Kirk a racist. I knew him personally and I can tell you, he was…",N/A
Twitter,https://twitter.com/user/status/1970136860497502436,1307,RT @Apolitical3678: Ban all jews from serving in the US Congress,Jews
Twitter,https://twitter.com/user/status/1970136859800932618,0,"Question for Eastern Orthodox Christians:

If the Patriarch of Constantinople came back into communion with Rome,

Would you follow him?",Christians
Twitter,https://twitter.com/user/status/1970136859692134446,1171,"RT @BladeoftheS: ""It's the immigrants.""

Look at this picture.

It's these people. https://t.co/syEoP27s6k",immigrants
Twitter,https://twitter.com/user/status/1970136859641848247,1060,RT @OurShallowState: One component of Malignant Narcissism is Sadism. People don’t fathom how deeply Trump is driven by it. In normal peopl…,N/A
Twitter,https://twitter.com/user/status/1970136859344044413,0,@PositivelyViv I totally get this and also need a lift.  The algo can be horrible.,horrible
Twitter,https://twitter.com/user/status/1970136859285295279,0,@roberge007 If ya can’t see that this man is a psychopath from this pic your blind or horrible as masking yourself. Like wtf is with that photo op,horrible
Twitter,https://twitter.com/user/status/1970136858899484776,3490,"RT @GBNEWS: ‘I am ASHAMED!’ Ex-MI6 chief tears into Keir Starmer’s move to recognise Palestine: ‘Terrible for British Jews’
https://t.co/bM…",Jews
Twitter,https://twitter.com/user/status/1970136857871794364,1523,"RT @anmmkla: certains ont regardé ce film en exprimant de l’empathie et en soulignant à quel point c’était horrible, tout en étant en même…",horrible
Twitter,https://twitter.com/user/status/1970136857813131693,13985,RT @nyakomeowy: white supremacy is so crazy because he literally killed your husband and your forgiving him because he's white,white supremacy
Twitter,https://twitter.com/user/status/1970136857796370516,45,RT @ThePatriotsPray: 🚨 Trans Terror Group With International Ties. Elm Fork John Brown Gun Club (DFW) isn’t just a gun club it’s a militant…,N/A
Twitter,https://twitter.com/user/status/1970136857557041370,2930,RT @RadioGenoa: North African Muslim immigrants in Barcelona want more mosques and don't want Spanish patriots in neighborhoods they've occ…,immigrants
Twitter,https://twitter.com/user/status/1970136857431445919,0,@CanadianPolling Horrible fucking idea.,horrible
Twitter,https://twitter.com/user/status/1970136857024541040,0,"@GarryBrown79155 @narindertweets She is British. A Geordie in fact.
Who is this 'we'?
You do not speak on my behalf, or represent me in any capacity.

You are being ridiculous.
Do you think drunken, idiotic scum thugs using politics as a fig leaf for their racism is acceptable?",racism
Twitter,https://twitter.com/user/status/1970136856957485192,1643,"RT @SteveBrusatte: Six guys were fixing a roof near Chicago, as kids played in the street.

They were legal immigrants, with papers. No mat…",immigrants
Twitter,https://twitter.com/user/status/1970136856684851315,13985,RT @nyakomeowy: white supremacy is so crazy because he literally killed your husband and your forgiving him because he's white,white supremacy
Twitter,https://twitter.com/user/status/1970136855795339758,0,"@NoCRTinSchools @lnmackenzie1 You're a racist woman who rabidly reposts homophobia and misogyny alongside your racism and transphobia.

Absolutely zero people believe that you care about homophobia.","racism, misogyny"
Twitter,https://twitter.com/user/status/1970136855728574474,214,"RT @CBHeresy: The Jews did not kill Jesus.
Some did.

The Catholics did not pogrom Jews.
Some did.

Whites did not enslave Africans.
Some d…",Jews
Twitter,https://twitter.com/user/status/1970136855468184059,1,"RT @Postypat163656: @wesstreeting @hzomlot @AnasSarwar @HFalconerMP @UKLabour You make me feel sick....
You've reached new depths of behavi…",N/A
Twitter,https://twitter.com/user/status/1970136855401382216,0,"Dear, slowly being overtaken, fascist algorithm, on any platform. Pushing your hypocritical religious content to me, and probably many others, is making me hate religion even more. I find my faith in nature, so fuck off!",N/A
Twitter,https://twitter.com/user/status/1970136855304909155,3153,RT @its_The_Dr: Once Black people find out the truth they are turning away from the Democrat party after researching Charlie Kirk for thems…,black people
Twitter,https://twitter.com/user/status/1970136855267147929,1189,"RT @ProjectConstitu: 🚨RED ALERT: Muslims Now RUNNING Key U.S. Cities &amp; Congress—Mosques TRIPLING, Sharia Looming—Your Freedom at RISK?!

If…",Muslims
Twitter,https://twitter.com/user/status/1970136854914818513,0,"@VerminusM There will NEVER be a palestinian State west of the Jorden River. Not you nor any other voice will change the words of God. ""This is the land I have given to you"" The Jews holding the deed to the land for over 3,000 years and will remain be forever.
https://t.co/WeUjFpzLgU",Jews
Twitter,https://twitter.com/user/status/1970136854591942762,1624,"RT @LqLana: Again, you absolutely have the Freedom of Speech to call Black people the N-word. 

Just understand there may be consequences t…",black people
Twitter,https://twitter.com/user/status/1970136854491283877,0,"@AnarchoGhoulist @TheRealThelmaJ1 I get it, leftists think they are in a privileged position to judge others and determine who is worthy of hate and who isn't. It's what makes you all so horrible.",horrible
Twitter,https://twitter.com/user/status/1970136854293864634,0,#GoharShahiLikeNoOther #ifollowGoharShahi #YounusAlGoharIsEnoughForMe #ALRATV #sufism #God #allah #Muslims #TheReligionofGod #muslimah #love #faqr #فقر #islam #hinduism #Christianity #jews #Everyone #Goharshahilikenoother #IfollowGoharShahi #Alratv #Christains #hindu #viral #fyp https://t.co/wImhGtA00L,"Muslims, Jews"
Twitter,https://twitter.com/user/status/1970136853832704143,0,"@dianahenryart @elonmusk @MrsErikaKirk Genuine forgiveness is a grace from God. That is true. But fallible man can still twist that concept for a greater evil. That’s why it is not prudent to assume things like the “Holy Spirit is working”. I mean it could, you’re not wrong about that. But assuming is not how it works",evil
Twitter,https://twitter.com/user/status/1970136853543112885,71,RT @RadioGenoa: He claims that Britain was rebuilt by Muslims. https://t.co/FlELBxP2oL,Muslims
Twitter,https://twitter.com/user/status/1970136853484298256,173,"RT @LauraLoomer: .@FBIDirectorKash @dbongino @marcorubio 

Every single person in this room who is cheering for Julani and living in the US…",N/A
Twitter,https://twitter.com/user/status/1970136853102612492,2120,"RT @AmyMek: Importing millions of Muslims is civilizational suicide. America must stop, or die. https://t.co/7ok15hus5B",Muslims
Twitter,https://twitter.com/user/status/1970136853081694289,329,"RT @LqLana: Hey MAGA,

Since you think you are being oppressed. 

When is the last time a Black person called the cops on you for being whi…",N/A
Twitter,https://twitter.com/user/status/1970136853019054385,1582,RT @Bubblebathgirl: Black woman has some bad news for the Democrats who falsely said Charlie Kirk was racist and then celebrated his de*th.…,N/A
Twitter,https://twitter.com/user/status/1970136852968636845,0,@EndWokeness “it is an abomination to fools to turn away from evil”,evil
Twitter,https://twitter.com/user/status/1970136852901331390,107,"RT @romanhelmetguy: When they want you to give up your land, they call your ancestors colonizers. 

When they want you to accept infinite i…",N/A
Twitter,https://twitter.com/user/status/1970136852792328337,830,RT @Phatbabeluuu: Unemployment has a way of making you enjoy Monday mornings in very shameful way .,shameful
Twitter,https://twitter.com/user/status/1970136852721217965,0,"@mehdirhasan Except for Palestinians. 

Did your uneducated retarded ass forget about the 10 day block party where Palestinians beat the dead bodies of Jews you fucking moron pedophile worshiping goat fucker?

Want the video? I'm sure you will say jews made this one in photoshop. Let me know! https://t.co/FSXM2LzWQU",Jews
Twitter,https://twitter.com/user/status/1970136852637339694,1583,"RT @ValentinaForUSA: I will get into The United States Congress and bomb every single terrorist that wants American Planes to crash. 

You’…",N/A
Twitter,https://twitter.com/user/status/1970136852465324426,0,@vmpflesh @leak_infos thats fine if you think that but doesnt change that that tweet is gross insanely disgusting,disgusting
Twitter,https://twitter.com/user/status/1970136852427386885,5569,RT @Omowale99949437: This is why the notion that racism will die off when the older generations die is asinine..Malcolm said it best: “Raci…,racism
Twitter,https://twitter.com/user/status/1970136852339314883,0,@DanBurmawy Jesus was killed for speaking truth. So was Charlie. I didn't hear Tucker mention Jews,Jews
Twitter,https://twitter.com/user/status/1970136852217663586,0,"@LizaRosen0000 What a load of crap.
So in order to secure the votes of 6% of the country he's prepared to piss off the other 94%..!!

Go away and give your head a wobble and then come back with some form of sense..!!",N/A
Twitter,https://twitter.com/user/status/1970136851802685685,0,"@EliAfriatISR I like Jews, I despise the zionists",Jews
Twitter,https://twitter.com/user/status/1970136851559452889,1189,"RT @ProjectConstitu: 🚨RED ALERT: Muslims Now RUNNING Key U.S. Cities &amp; Congress—Mosques TRIPLING, Sharia Looming—Your Freedom at RISK?!

If…",Muslims
Twitter,https://twitter.com/user/status/1970136851303559407,1643,"RT @SteveBrusatte: Six guys were fixing a roof near Chicago, as kids played in the street.

They were legal immigrants, with papers. No mat…",immigrants
Twitter,https://twitter.com/user/status/1970136850393444793,1,@StefanMolyneux Because they are deciding to continue being evil.,evil
Twitter,https://twitter.com/user/status/1970136850107871533,75,"RT @RacistBlkPpl: I dont care if this retard is a minor, people like this are the reason why Japanese people dont like drawing black charac…",N/A
